source,source_code,concept_id,seed_sha256
ciqual,10064,nfx_5ZQ2CY1CXAE42G733ZBJM4A6MB,a2e1050a8bbee9d9dbb3c93de3a9f250ce9c6af85e04461d373f2779cdd060fb
ciqual,1007,nfx_24ZG20VC7SKKK9DB9HT62P8VX9,b3aa28f61e8f876d6ec1639dfd4a4216a03d5d132fc57a5e52b8541c06f74a3e
ciqual,10074,nfx_0HSS94JHV07QEMEZRY04TB0B4P,7b099ae23f87c2babdef6c84aefcd173a6482562fd2905fdfcba069540c9f9be
ciqual,10079,nfx_7P8JVZBPQ69SVQ99K6A70VQDAV,e39c8e5e4f1bf9278e4a403f22da83e8c9b02a1101c6eeebffd23cb30b48ba9f
ciqual,1008,nfx_151H95JBG1F409N5SY328TFKPF,105ad11bae8aec1e030aece50cda5755525ac94549306aa297c1365b5911eabc
ciqual,10080,nfx_6SMZ4KBRVPWWC2TAWX35WZZ2KQ,b6bf80876d2f1bbc606cab430ddc08b3f27040603115a3b033a5810dcc127ba0
ciqual,10081,nfx_3M7F05WX5SBD2Q2XS9KNSD01P9,e1651ff2940e558c628a308d7265e0a6897605c61fb625a232e682e0c999f346
ciqual,10082,nfx_5EKQPK7PAS3W2MXBWPX8CXXVDV,fd7a3218c51a5b23159c91d878670d79c7d97bea44f4c21cd324a929a9aaa0fa
ciqual,10083,nfx_1KV4WXAGD4VQ552QFZ0P91QWXW,f635e5eb29137e96855cdc629ee0983ec0f6af78172630de01ba70c010c50157
ciqual,10084,nfx_04E45WDHCQN1MGS7VDCKNKH6T0,b5496a1b140f510516d0efa0236d04d12f21d48960a79828f5f92c8e0638fb79
ciqual,10086,nfx_5SWN91P03Y1QXB0H939V54J8R3,da526a1f10ee603d91da530a34302040173e3462b4e25d2e8bbee7053355e96d
ciqual,10088,nfx_6W6DYVG7713VNBGGMK2H7KRQVF,8e131545f1dceced950dad65a1cdc8cbecc52e389329ffb4c88f03f089b2a2a2
ciqual,10089,nfx_3E7JJ08YD7ATE24X3AMPTYN7VE,f30cefc3f2c2263e514d2bf28ee675fd25dea8bfc88515079dd8a885ccae1b3c
ciqual,10099,nfx_3BJJT04WGA5D0AW801KSSV6F40,0af6e5337d5f7590fdb095cb372a74471dff67e5e1f3518ab9b71239f32ffe9e
ciqual,1010,nfx_6WRQWWDHCF3Z9XNYP9VHS5D7TS,c2a5e3b41d555137615114b01ef4524c2309bf96384ef23e7df830ac6fbe5020
ciqual,10100,nfx_6ZKZXA25N5JQ1AP06CEXWAE0YK,e40109db71d12ea8ed718a4df137d4dce9054e54596c8498157d29e512d89865
ciqual,10101,nfx_3J7RBHAV2V0MEDYHT8914HFT7S,11f1bdc5ef84b4ce73c3c23f049469ed8441e1246083a04b606ea048e52a9b02
ciqual,1011,nfx_6XS6VZ9GQB6M794VZQRP1KZ844,2e8430c6a5c0224ab185940fef1d9269a1a6f7e6730fc9c89c811b88d957cc48
ciqual,1012,nfx_5SR0FG0VDD44PD94R3WFG7EV9P,8aa354e49f402c5453e0402c6791041e8f401f26d0b18847fff0a70b6ad671a5
ciqual,1013,nfx_2HYFT8R78CCTXDJ25GN3K9TT5Z,de31638840d900fab3d83b55aa2bcc4357828eed1a9a12a89ea0994b033aa2a7
ciqual,1014,nfx_2VM0KN2WMW9SHRXXZ43XTTZ42G,37bb8e6552a208583dd209eee84e2256a34d1ea6d5c8fa0a735d131763e06b7c
ciqual,1015,nfx_6JBA8MMQTYR6SK5WRBQ8RE9GDZ,a8ace8661242d551621eb603771a661aafe8f2a0aeacadb04b0550d0527c1b43
ciqual,1016,nfx_69TMBQ00V3G20JXW283Z5CFZCM,429df743918587bbc901d885f4673103bf6c66371e3f4c188295f5f432526e38
ciqual,1017,nfx_1V6WVWEM8R06Z55CCBTEXM87RZ,fb0d2c3c8d79a551e7461e6d2af18882ca61264157dca7cb1e78ad7ea8cc6d17
ciqual,1018,nfx_4XQJ06AHGJMFRMBR74950YN4DQ,a48dad85215e95e7d11773864f6933eb1a4d2203bec620ff88e3f3ec175fc85d
ciqual,1019,nfx_0CAWJX53EF906DW0RN9AJVS80J,54c1066dedd6b5401c43c222b71cb68df0d24cb1aa5fd2c5f173300e7a0c49df
ciqual,1021,nfx_0HXT2BH5Y2VHWGNYCNRD0M53BP,418d313f0e06aae4281f262efb2efb9c1432caa4838841f8c35635be4eba0108
ciqual,1022,nfx_4PHD8EFAE68CDQNN3A3771XNCQ,209b855c18240ff7fe2a1012e40cbd551235e05e8d8f1b8c87181633804ca0c6
ciqual,1023,nfx_0X5GS40K0S4P7PR97TAFA0VX09,22f7b24bd1f8ea82c226e83e330e7a845acd395e2d645c5a4d24d9b6c50fdd13
ciqual,1024,nfx_3G91KKZG41TX8SXRRN4WYDVHT0,4af2a3432394bcda79a116db6a907f20b5b38b1e565df1545b389d9697c24688
ciqual,1026,nfx_2Y30PTMX0HBV109Q1S78V8E1B9,a35da72eb38f4800b952d5b5b70106c13d2dfb4a521fd1f9ff72d1035134eeca
ciqual,1027,nfx_3RMM83SGNR20AKNMKF1V4AM6SN,b49d01afdbf0f123b64a60dea943ff41159091bdd3ffd5c711bdeeccaaab62c9
ciqual,1028,nfx_7HDRMW3S61RWAVT1QVRR6N0ANW,f860bf346d0bbe6876cfe185c809b988341d30b3de19ff8d80b0183396b8178b
ciqual,1029,nfx_7CBTMV9YY3H94ZB7ZM83EQ0K14,1adb25cd8bd2ba86698b56a3f1039b131bcd5f10fcccde37a7fa1836caf84e94
