# Fatores de retencao (SPEC §10, ADR-0007/0018). Fonte: USDA Table of
# Nutrient Retention Factors Release 6 (2007), CC0 1.0,
# DOI 10.15482/USDA.ADC/1409034. Fonte primaria: retn06.txt (ASCII caret-delimited),
# SHA-256 5B71867F6649E801DB3BF88C6CD1887B0673E853D4BA94AA0AF2B3C091E983F9.
# Gerado por scripts/build_retention_factors.py — nao editar a mao.
# Politica: mediana por (nutriente, metodo); espaco min-max na evidencia;
# referencia integral em usda_r6_reference.csv.
nutrient,cooking_method,retention_factor,evidence
FOL,reheated,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 90% max 100%
FOL,roasted,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 60% max 95%
FOL,simmered,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 55% max 100%
FOL,steamed,0.775,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 85%
FOL,stewed,0.5,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 50% max 50%
FOLAC,baked,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 60% max 95%
FOLAC,boiled,0.675,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 30% max 90%
FOLAC,braised,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 65% max 80%
FOLAC,broiled,0.825,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 30% max 95%
FOLAC,canned,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 50% max 95%
FOLAC,cooked,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 25% max 100%
FOLAC,fried,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 25% max 95%
FOLAC,poached,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 75% max 75%
FOLAC,reheated,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 90% max 100%
FOLAC,roasted,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 60% max 95%
FOLAC,simmered,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 55% max 100%
FOLAC,steamed,0.775,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 85%
FOLAC,stewed,0.5,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 50% max 50%
FOLFD,baked,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 60% max 95%
FOLFD,boiled,0.675,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 30% max 90%
FOLFD,braised,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 65% max 80%
FOLFD,broiled,0.825,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 30% max 95%
FOLFD,canned,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 50% max 95%
FOLFD,cooked,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 25% max 100%
FOLFD,fried,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 25% max 95%
FOLFD,poached,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 75% max 75%
FOLFD,reheated,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 90% max 100%
FOLFD,roasted,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 60% max 95%
FOLFD,simmered,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 55% max 100%
FOLFD,steamed,0.775,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 85%
FOLFD,stewed,0.5,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 50% max 50%
K,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 55% max 100%
K,boiled,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 30% max 100%
K,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 55% max 100%
K,broiled,0.875,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 80% max 100%
K,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 100%
K,cooked,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 65% max 100%
K,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 65% max 100%
K,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
K,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
K,roasted,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 100%
K,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 45% max 100%
K,steamed,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 100%
